"name","popularity","followers.total","gender","generation"
"BTS","96","48604860","BG","3rd Gen"
"TWICE","85","13240118","GG","3rd Gen"
"SKZ","85","7791918","BG","4th Gen"
"BLACKPINK","84","29517557","GG","3rd Gen"
"TXT","80","6103741","BG","4th Gen"
"Red Velvet","80","6839622","GG","3rd Gen"
"SVT","80","6692055","BG","3rd Gen"
"(G)I-DLE","78","3427262","GG","4th Gen"
"ENHYPEN","80","3509718","BG","4th Gen"
"ATEEZ","75","2258150","BG","4th Gen"
"NCT DREAM","78","4768054","BG","3rd Gen"
"STAYC","73","741812","GG","4th Gen"
"ITZY","77","4049806","GG","4th Gen"
"EXO","75","9027593","BG","3rd Gen"
"NCT 127","74","5267622","BG","3rd Gen"
"IVE","76","507602","GG","4th Gen"
"GFRIEND","67","1361350","GG","3rd Gen"
"MAMAMOO","70","5348908","GG","3rd Gen"
"TREASURE","77","1603898","BG","4th Gen"
"aespa","75","1881072","GG","4th Gen"
