"danceability","energy","key","mode","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","artist_name","song_name","gender","generation","popularity","album.release_date"
0.573,0.711,1,0,-6.268,0.0406,0.0114,0,0.328,0.47,105.006,"BTS","My Universe","BG","3rd Gen",84,"2021-10-15"
0.759,0.459,8,1,-5.187,0.0948,0.00323,0,0.0906,0.695,109.997,"BTS","Butter","BG","3rd Gen",87,"2021-06-04"
0.746,0.765,6,0,-4.41,0.0993,0.0112,0,0.0936,0.737,114.044,"BTS","Dynamite","BG","3rd Gen",86,"2020-11-20"
0.702,0.741,9,1,-5.33,0.0427,0.00544,0,0.337,0.646,124.925,"BTS","Permission to Dance","BG","3rd Gen",83,"2021-07-23"
0.645,0.862,11,0,-4.761,0.0845,0.0933,0,0.193,0.803,119.947,"BTS","Boy With Luv (feat. Halsey)","BG","3rd Gen",81,"2019-04-12"
0.566,0.716,1,1,-5.733,0.0424,0.00691,0,0.37,0.45,81.068,"BTS","Life Goes On","BG","3rd Gen",80,"2020-11-20"
0.637,0.799,2,1,-4.518,0.0338,0.394,0,0.0921,0.57,104.996,"BTS","Euphoria","BG","3rd Gen",79,"2018-08-24"
0.779,0.762,10,0,-5.188,0.0631,0.0224,0,0.121,0.859,110.043,"BTS","Filter","BG","3rd Gen",78,"2020-02-21"
0.557,0.719,2,0,-4.515,0.0371,0.00267,0,0.306,0.345,77.502,"BTS","FAKE LOVE","BG","3rd Gen",78,"2018-05-18"
0.583,0.817,9,0,-5.146,0.099,0.118,0,0.338,0.437,105.935,"BTS","ON","BG","3rd Gen",77,"2020-02-21"
0.808,0.903,9,1,-2.179,0.0729,0.0899,0,0.0816,0.922,120.044,"TWICE","The Feels","GG","3rd Gen",80,"2021-11-12"
0.697,0.874,5,0,-2.15,0.0449,0.0122,0,0.627,0.775,132.018,"TWICE","FANCY","GG","3rd Gen",76,"2019-04-22"
0.786,0.858,11,1,-3.74,0.0675,0.0487,0,0.126,0.649,112.999,"TWICE","SCIENTIST","GG","3rd Gen",76,"2021-11-12"
0.657,0.88,10,0,-3.672,0.102,0.121,0,0.463,0.769,150.084,"TWICE","I CAN'T STOP ME","GG","3rd Gen",76,"2020-10-26"
0.574,0.909,8,1,-1.573,0.0658,0.0987,0,0.264,0.569,169.966,"TWICE","What is Love","GG","3rd Gen",75,"2018-07-09"
0.688,0.909,8,1,-1.992,0.0624,0.0474,1.35e-06,0.0674,0.702,97.097,"TWICE","Alcohol-Free","GG","3rd Gen",74,"2021-06-11"
0.702,0.692,10,1,-5.405,0.0539,0.0542,0,0.0877,0.419,144.896,"TWICE","CRY FOR ME","GG","3rd Gen",73,"2020-12-18"
0.708,0.959,1,1,-1.338,0.0604,0.0296,0.00188,0.107,0.644,128.981,"TWICE","Feel Special","GG","3rd Gen",72,"2019-09-23"
0.702,0.913,11,1,-2.977,0.0374,0.0514,3.72e-06,0.166,0.735,137.981,"TWICE","YES or YES","GG","3rd Gen",70,"2018-11-05"
0.709,0.861,0,1,-2.905,0.0941,0.106,4.73e-05,0.113,0.779,118.089,"TWICE","Dance The Night Away","GG","3rd Gen",69,"2018-07-09"
0.581,0.8,1,1,-2.613,0.411,0.154,0,0.0697,0.709,119.872,"SKZ","MANIAC","BG","4th Gen",84,"2022-03-18"
0.601,0.786,1,1,-3.706,0.234,0.213,0,0.209,0.79,172.156,"SKZ","Thunderous","BG","4th Gen",77,"2021-08-23"
0.812,0.807,9,1,-3.354,0.339,0.11,0,0.211,0.4,136.979,"SKZ","VENOM","BG","4th Gen",76,"2022-03-18"
