"name","popularity","followers.total","gender","generation"
"BTS","96","48693267","BG","3rd Gen"
"TWICE","85","13262968","GG","3rd Gen"
"SKZ","85","7810782","BG","4th Gen"
"BLACKPINK","84","29553869","GG","3rd Gen"
"TXT","80","6118099","BG","4th Gen"
"Red Velvet","80","6848440","GG","3rd Gen"
"SVT","80","6702138","BG","3rd Gen"
"(G)I-DLE","78","3434992","GG","4th Gen"
"ENHYPEN","80","3522664","BG","4th Gen"
"ATEEZ","75","2262240","BG","4th Gen"
"NCT DREAM","78","4776168","BG","3rd Gen"
"STAYC","73","745456","GG","4th Gen"
"ITZY","77","4061761","GG","4th Gen"
"EXO","75","9031707","BG","3rd Gen"
"IVE","77","515495","GG","4th Gen"
"NCT 127","74","5272460","BG","3rd Gen"
"GFRIEND","67","1361350","GG","3rd Gen"
"MAMAMOO","70","5348908","GG","3rd Gen"
"TREASURE","77","1603898","BG","4th Gen"
"aespa","75","1881072","GG","4th Gen"
